Location,Area_SqFt,Property_Type,Proximity_to_Highway_km,Land_Quality_Rating,Price_INR
Kamarhati,1200,Residential Plot,2.1,5,12000000
Rajarhat,2600,Residential Plot,1.7,5,20000000
Titagarh,5000,Residential Plot,5,4,23000000
Shyamnagar,2800,Residential Plot,6.3,2,8500000
Bandel,3000,Residential Plot,7.4,2,8300000
Salt Lake,6000,Residential Plot,4.5,5,38000000
New Town,1400,Residential Plot,1.8,5,11500000
Howrah,1400,Residential Plot,1.2,4,8800000
Barasat,1700,Residential Plot,5.9,3,8200000
Barrackpore,3500,Commercial Plot,3.8,5,34000000
Dum Dum,2800,Residential Plot,1,4,15000000
Kamarhati,5000,Commercial Plot,3.2,5,48000000
Rajarhat,1200,Commercial Plot,1.3,5,15500000
Titagarh,2600,Residential Plot,4.2,4,14500000
Shyamnagar,3200,Residential Plot,6.7,2,9200000
Bandel,7000,Commercial Plot,9,2,21000000
Salt Lake,2500,Residential Plot,3.4,5,19000000
New Town,3500,Residential Plot,2.7,5,25000000
Howrah,2600,Residential Plot,1.6,4,15000000
Barasat,3000,Commercial Plot,6.8,3,15000000
Barrackpore,2400,Residential Plot,3,5,19500000
Dum Dum,3200,Residential Plot,1.2,4,16500000
Kamarhati,2400,Residential Plot,2.6,5,20500000
Rajarhat,3500,Residential Plot,2,5,26000000
Titagarh,3800,Residential Plot,4.6,4,19500000
Shyamnagar,5000,Residential Plot,7.5,2,13000000
Bandel,4200,Residential Plot,7.9,2,10800000
